orderID,lng,lat,timeStamp
1,-0.1204129,51.5176398,01/01/2021 12:23
1,-0.1229235,51.5171991,01/01/2021 12:23
1,-0.123138,51.5172926,01/01/2021 12:23
1,-0.1251551,51.517119,01/01/2021 12:23
1,-0.1271721,51.516892,01/01/2021 12:23
1,-0.1298114,51.516438,01/01/2021 12:23
1,-0.1341029,51.5161443,01/01/2021 12:24
1,-0.138094,51.515717,01/01/2021 12:24
1,-0.1422783,51.515303,01/01/2021 12:24
1,-0.1419779,51.5147155,01/01/2021 12:24
1,-0.14142,51.5139009,01/01/2021 12:24
1,-0.1404115,51.5126056,01/01/2021 12:24
1,-0.1394029,51.5116307,01/01/2021 12:25
1,-0.1389952,51.5111366,01/01/2021 12:25
1,-0.1383515,51.5101083,01/01/2021 12:25
1,-0.1378151,51.5100416,01/01/2021 12:25
1,-0.1366778,51.5098947,01/01/2021 12:25
1,-0.1349183,51.5100148,01/01/2021 12:25
1,-0.1337381,51.5101484,01/01/2021 12:26
1,-0.1332231,51.510135,01/01/2021 12:26
1,-0.132,51.508893,01/01/2021 12:26
1,-0.1310583,51.5076374,01/01/2021 12:26
1,-0.1283117,51.5074371,01/01/2021 12:26
1,-0.1277109,51.5076107,01/01/2021 12:26
1,-0.1270886,51.5078244,01/01/2021 12:27
1,-0.126638,51.5079446,01/01/2021 12:27
1,-0.1252433,51.5086925,01/01/2021 12:27
1,-0.1192995,51.5112833,01/01/2021 12:27
1,-0.1161023,51.5078244,01/01/2021 12:27
1,-0.1143857,51.5059012,01/01/2021 12:27
1,-0.1139351,51.5052066,01/01/2021 12:28
2,-0.1271101,51.5127099,01/01/2021 12:23
2,-0.1278397,51.5126966,01/01/2021 12:23
2,-0.1282473,51.5130972,01/01/2021 12:23
2,-0.1289555,51.513391,01/01/2021 12:23
2,-0.1292559,51.5130972,01/01/2021 12:23
2,-0.1301142,51.5154341,01/01/2021 12:24
2,-0.1306077,51.5169963,01/01/2021 12:24
2,-0.1315947,51.5179711,01/01/2021 12:24
2,-0.1328607,51.5192128,01/01/2021 12:24
2,-0.1338907,51.5201608,01/01/2021 12:24
2,-0.1390835,51.5180913,01/01/2021 12:24
2,-0.1435467,51.5173168,01/01/2021 12:25
2,-0.1466366,51.5168094,01/01/2021 12:25
2,-0.1476236,51.5165691,01/01/2021 12:25
2,-0.1488896,51.5163821,01/01/2021 12:25
2,-0.1483532,51.5153673,01/01/2021 12:25
2,-0.1424094,51.5164088,01/01/2021 12:25
2,-0.1420017,51.5152471,01/01/2021 12:26
2,-0.141594,51.5142189,01/01/2021 12:26
2,-0.1402207,51.5125096,01/01/2021 12:26
2,-0.1394029,51.5116307,01/01/2021 12:26
2,-0.1385899,51.510827,01/01/2021 12:26
2,-0.1378151,51.5100416,01/01/2021 12:26
2,-0.1362296,51.5098788,01/01/2021 12:27
2,-0.1349183,51.5100148,01/01/2021 12:27
2,-0.1347061,51.5096785,01/01/2021 12:27
2,-0.1400491,51.5080491,01/01/2021 12:27
2,-0.1411863,51.507555,01/01/2021 12:27
2,-0.1406499,51.5069139,01/01/2021 12:27
2,-0.1400276,51.5072211,01/01/2021 12:28
2,-0.1386543,51.5059523,01/01/2021 12:28
2,-0.1379677,51.5052044,01/01/2021 12:28
3,-0.1204129,51.5176398,01/01/2021 12:24
3,-0.1176902,51.5133109,01/01/2021 12:24
3,-0.1154586,51.5132575,01/01/2021 12:24
3,-0.114729,51.5131506,01/01/2021 12:24
3,-0.1094933,51.5140854,01/01/2021 12:24
3,-0.1096221,51.5150735,01/01/2021 12:24
3,-0.1083775,51.5165157,01/01/2021 12:25
3,-0.1076051,51.517664,01/01/2021 12:25
3,-0.1113816,51.5181447,01/01/2021 12:25
3,-0.1134416,51.5216162,01/01/2021 12:25
3,-0.1159306,51.5245534,01/01/2021 12:25
3,-0.1251574,51.5222037,01/01/2021 12:25
4,-0.1242133,51.5215628,01/01/2021 12:27
4,-0.1210376,51.5188924,01/01/2021 12:27
4,-0.1198789,51.5165157,01/01/2021 12:27
4,-0.1176902,51.5135245,01/01/2021 12:28
4,-0.1176043,51.5130438,01/01/2021 12:28
4,-0.1190205,51.5122693,01/01/2021 12:28
4,-0.1190205,51.5116817,01/01/2021 12:28
4,-0.1190205,51.5112811,01/01/2021 12:28
4,-0.1249,51.5088238,01/01/2021 12:28
4,-0.125887,51.50853,01/01/2021 12:29
4,-0.1272174,51.5085834,01/01/2021 12:29
4,-0.127389,51.5094381,01/01/2021 12:29
4,-0.1279469,51.5098655,01/01/2021 12:29
4,-0.128419,51.5104531,01/01/2021 12:29
4,-0.128419,51.5109605,01/01/2021 12:29
4,-0.1283761,51.5112811,01/01/2021 12:30
5,-0.1266595,51.5156611,01/01/2021 12:29
5,-0.1280328,51.5140854,01/01/2021 12:29
5,-0.1297494,51.5128836,01/01/2021 12:30
5,-0.1322385,51.5119221,01/01/2021 12:30
5,-0.1337405,51.511014,01/01/2021 12:30
5,-0.1343413,51.5102127,01/01/2021 12:30
5,-0.1349183,51.5100148,01/01/2021 12:30
5,-0.1337834,51.5086101,01/01/2021 12:30
5,-0.1325389,51.5072746,01/01/2021 12:31
5,-0.1293631,51.508343,01/01/2021 12:31
5,-0.1287194,51.5076485,01/01/2021 12:31
